Bowler,O,R,W,Econ,Dots
,Trent Boult,4,48,0,12.00,10
,Avesh Khan,4,28,0,7.00,11
,Rahul Tewatia,2,23,0,11.50,2
,Liam Plunkett,3,52,0,17.33,2
,Amit Mishra,4,30,1,7.50,4
,Vijay Shankar,2,22,1,11.00,4
,Glenn Maxwell,1,5,1,5.00,2
Bowler,O,R,W,Econ,Dots
,Lungi Ngidi,4,26,1,6.50,12
,KM Asif,3,43,2,14.33,5
,Shane Watson,2,27,0,13.50,2
,Ravindra Jadeja,4,31,1,7.75,6
,Harbhajan Singh,4,26,0,6.50,8
,Dwayne Bravo,3,43,0,14.33,3
Bowler,O,R,W,Econ,Dots
,Piyush Chawla,3,22,0,7.33,10
,Sunil Narine,4,38,0,9.50,10
,Mitchell Johnson,3,38,0,12.66,3
,Shivam Mavi,3,21,0,7.00,7
,Kuldeep Yadav,4,20,1,5.00,11
,Andre Russell,3,31,3,10.33,4
Bowler,O,R,W,Econ,Dots
,Tim Southee,4,34,0,8.50,7
,Umesh Yadav,3.1,36,0,11.36,7
,Yuzvendra Chahal,4,29,0,7.25,10
,Mohammed Siraj,4,40,2,10.00,8
,Murugan Ashwin,4,36,2,9.00,8
Bowler,O,R,W,Econ,Dots
,Krishnappa Gowtham,4,18,2,4.50,10
,Dhawal Kulkarni,2,20,0,10.00,4
,Jofra Archer,4,26,3,6.50,9
,Jaydev Unadkat,3,33,1,11.00,4
,Ish Sodhi,3,25,1,8.33,3
,Ben Stokes,3,20,0,6.66,7
,Mahipal Lomror,1,8,0,8.00,1
Bowler,O,R,W,Econ,Dots
,Sandeep Sharma,4,15,1,3.75,14
,Shakib Al Hasan,4,30,0,7.50,4
,Basil Thampi,2,26,1,13.00,2
,Siddarth Kaul,4,23,2,5.75,8
,Rashid Khan,4,31,1,7.75,4
,Yusuf Pathan,2,14,1,7.00,2
Bowler,O,R,W,Econ,Dots
,Trent Boult,4,48,0,12.00,10
,Avesh Khan,4,28,0,7.00,11
,Rahul Tewatia,2,23,0,11.50,2
,Liam Plunkett,3,52,0,17.33,2
,Amit Mishra,4,30,1,7.50,4
,Vijay Shankar,2,22,1,11.00,4
,Glenn Maxwell,1,5,1,5.00,2
Bowler,O,R,W,Econ,Dots
,Lungi Ngidi,4,26,1,6.50,12
,KM Asif,3,43,2,14.33,5
,Shane Watson,2,27,0,13.50,2
,Ravindra Jadeja,4,31,1,7.75,6
,Harbhajan Singh,4,26,0,6.50,8
,Dwayne Bravo,3,43,0,14.33,3
Bowler,O,R,W,Econ,Dots
,Piyush Chawla,3,22,0,7.33,10
,Sunil Narine,4,38,0,9.50,10
,Mitchell Johnson,3,38,0,12.66,3
,Shivam Mavi,3,21,0,7.00,7
,Kuldeep Yadav,4,20,1,5.00,11
,Andre Russell,3,31,3,10.33,4
Bowler,O,R,W,Econ,Dots
,Tim Southee,4,34,0,8.50,7
,Umesh Yadav,3.1,36,0,11.36,7
,Yuzvendra Chahal,4,29,0,7.25,10
,Mohammed Siraj,4,40,2,10.00,8
,Murugan Ashwin,4,36,2,9.00,8
Bowler,O,R,W,Econ,Dots
,Krishnappa Gowtham,4,18,2,4.50,10
,Dhawal Kulkarni,2,20,0,10.00,4
,Jofra Archer,4,26,3,6.50,9
,Jaydev Unadkat,3,33,1,11.00,4
,Ish Sodhi,3,25,1,8.33,3
,Ben Stokes,3,20,0,6.66,7
,Mahipal Lomror,1,8,0,8.00,1
Bowler,O,R,W,Econ,Dots
,Sandeep Sharma,4,15,1,3.75,14
,Shakib Al Hasan,4,30,0,7.50,4
,Basil Thampi,2,26,1,13.00,2
,Siddarth Kaul,4,23,2,5.75,8
,Rashid Khan,4,31,1,7.75,4
,Yusuf Pathan,2,14,1,7.00,2
Bowler,O,R,W,Econ,Dots
,Mitchell McClenaghan,4,26,2,6.50,10
,Jasprit Bumrah,4,25,0,6.25,12
,Hardik Pandya,4,39,1,9.75,8
,Krunal Pandya,4,32,2,8.00,9
,Mayank Markande,3,30,0,10.00,5
,Ben Cutting,1,14,0,14.00,1
Bowler,O,R,W,Econ,Dots
,Deepak Chahar,2.1,19,0,8.76,6
,Shardul Thakur,4,38,0,9.50,9
,Shane Watson,4,41,0,10.25,8
,Harbhajan Singh,3.5,20,1,5.21,7
,Imran Tahir,2.4,26,0,9.75,5
,Dwayne Bravo,3,21,1,7.00,5
Bowler,O,R,W,Econ,Dots
,Piyush Chawla,4,33,1,8.25,10
,Kuldeep Yadav,2,22,0,11.00,2
,Shivam Mavi,4,58,1,14.50,8
,Sunil Narine,3,35,0,11.66,4
,Mitchell Johnson,4,42,0,10.50,9
,Andre Russell,3,28,1,9.33,6
Bowler,O,R,W,Econ,Dots
,Trent Boult,4,44,2,11.00,9
,Glenn Maxwell,2,22,2,11.00,3
,Avesh Khan,4,29,2,7.25,12
,Liam Plunkett,4,24,0,6.00,9
,Amit Mishra,4,23,2,5.75,10
,Vijay Shankar,1,10,0,10.00,1
,Rahul Tewatia,1,11,0,11.00,3
Bowler,O,R,W,Econ,Dots
,Ankit Rajpoot,4,14,5,3.50,17
,Barinder Sran,3,27,0,9.00,9
,Ravichandran Ashwin,4,34,0,8.50,8
,Manoj Tiwary,1,10,0,10.00,0
,Mujeeb Ur Rahman,4,17,1,4.25,11
,Andrew Tye,4,28,0,7.00,8
Bowler,O,R,W,Econ,Dots
,Sandeep Sharma,4,17,2,4.25,13
,Mohammad Nabi,2,24,0,12.00,4
,Siddarth Kaul,4,25,0,6.25,9
,Basil Thampi,2.2,14,2,6.00,6
,Rashid Khan,4,19,3,4.75,11
,Shakib Al Hasan,3,18,2,6.00,7
